ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,match_method,confidence
2310136178,CHRISTINA,MENESES-IBARRA,Christina Meneses-Ibarra,Eastern New Mexico University,Lone Star Conference,II,05/06/2026,05/12/2026,Signed,2025-26,Softball,1431,none,NONE
2507661723,AALIYAH,DE JESUS,Aaliyah De Jesus,St. Mary's University (Texas),Lone Star Conference,II,05/11/2026,05/11/2026,Active,2025-26,Softball,1482,none,NONE
2305913864,KARINA,DE LA VEGA,Karina De La Vega,Felician University,Central Atlantic Collegiate Conference,II,05/11/2026,05/11/2026,Active,2025-26,Softball,1577,none,NONE
1901386090,OLIVIA,PICHARDO,Olivia Pichardo,Brown University,The Ivy League,I,05/11/2026,05/11/2026,Active,2025-26,Softball,1257,none,NONE
2308974305,HANNAH,ESCALANTE,Hannah Escalante,Dominican University of California,Pacific West Conference,II,05/08/2026,05/09/2026,Active,2025-26,Softball,,none,NONE
2309998510,ADORIA,WALDIER,Adoria Waldier,"Pennsylvania Western University, Edinboro",Pennsylvania State Athletic Conference,II,05/08/2026,05/08/2026,Active,2025-26,Softball,,none,NONE
2203477512,MIA,DE LA FUENTE,Mia De La Fuente,North Carolina Central University,Mid-Eastern Athletic Conf.,I,05/08/2026,05/08/2026,Active,2025-26,Softball,1302,none,NONE
2209675348,AALIYAH,ZAMORA-MARTIN,Aaliyah Zamora-Martin,Savannah State University,Southern Intercol. Ath. Conf.,II,05/07/2026,05/07/2026,Active,2025-26,Softball,1546,none,NONE
2302793048,HUNTER,ST. PETER,Hunter St. Peter,Saint Mary's College (Indiana),Michigan Intercollegiate Athletic Association,III,05/07/2026,05/07/2026,Active,2025-26,Softball,,none,NONE
2406324911,LISA,GARCIA-PALAFOX,Lisa Garcia-Palafox,Minnesota State University Moorhead,Northern Sun Intercollegiate Conference,II,05/05/2026,05/06/2026,Active,2025-26,Softball,1535,none,NONE
2507658908,JOLIE,BAZAN,Jolie Bazan,"University of Arkansas, Monticello",Great American Conference,II,05/06/2026,05/06/2026,Active,2025-26,Softball,1582,none,NONE
2506639954,ALYSON,LAWRENCE,Alyson Lawrence,Morehead State University,Ohio Valley Conference,I,05/06/2026,05/06/2026,Active,2025-26,Softball,1365,none,NONE
2110345200,KATHRYN,JANSSEN,Kathryn Janssen,University of Nebraska at Kearney,Mid-America Intercollegiate Athletics Association,II,05/06/2026,05/06/2026,Active,2025-26,Softball,1600,none,NONE
2504578931,KATIE,MURPHY,Katie Murphy,Johnson & Wales University Charlotte,Coast-To-Coast Athletic Conference,III,05/06/2026,05/06/2026,Active,2025-26,Softball,,none,NONE
2308995858,ALEXIS,GATTUSO,Alexis Gattuso,"University of Maine, Farmington",North Atlantic Conference|North Atlantic Conference,III,12/13/2025,02/21/2026,Matriculated,2025-26,Baseball|Softball,1728,none,NONE
2305911564,SAYLOR,DAVIS,Saylor Davis,Oklahoma State University,Big 12 Conference,I,12/01/2025,12/02/2025,Active,2025-26,Softball,1119,none,NONE
