ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,match_method,confidence
2308990661,WILLIAM,HUGGINS,William Huggins,University of Virginia,Atlantic Coast Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,856,none,NONE
2307969570,BRANDON,MENSER,Brandon Menser,University of Cincinnati,Big 12 Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,152,none,NONE
2109314384,GAVIN,PARKERSON,Gavin Parkerson,University of Illinois Urbana-Champaign,Big Ten Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,345,none,NONE
2409420432,WILL,CAHILL,Will Cahill,University of Washington,Big Ten Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,870,none,NONE
2411462011,DYLAN,BOHLKE,Dylan Bohlke,University of the Incarnate Word,Southland Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,819,none,NONE
2109323820,ANDREW,BANDA,Andrew Banda,Saint Louis University,Atlantic 10 Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,670,none,NONE
2309998612,REGINALD,SHARPE,Reginald Sharpe,Michigan State University,Big Ten Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,472,none,NONE
2311156939,CARSON,BOWMAN,Carson Bowman,La Salle University,Atlantic 10 Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,949,none,NONE
2112403117,SAMUEL,FORMUS,Samuel Formus,Saint Peter's University,Metro Atlantic Athletic Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,675,none,NONE
2109324122,CHARLES,BAUER,Charles Bauer,The Ohio State University,Big Ten Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,576,none,NONE
2201404172,ROBERT,BROOKS,Robert Brooks,University of South Alabama,Sun Belt Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,709,none,NONE
2502507652,JAYDEN,CONTRERAS,Jayden Contreras,The University of Texas Permian Basin,Lone Star Conference,II,05/31/2026,05/31/2026,Active,2025-26,Baseball,780,none,NONE
